branch	sha
infer-projection-fusion-separator	063fb4b93b97214074ba013c8992a8ecc91da4a5
infra/org-runner-probe-pr	78264c3bba83d40021370811b3fbe40e54d45aef
iota-cost-decomposition	3c9d49b288af07940387f6d3b4472be65d4bd46f
iota-function-instruction-profile	0b083a493d114fe8e5a24658e241237d54d7db0a
massive-gain-fast-pass-20260818	f6d986d01d745f5197d4c0f4c8853264a12ed6bc
massive-gain-semantic-census	bb96d68a0a8da37e9a93759f6e5f3b9cf2cd4571
master	59570dbc8c57b76f1a6872b1499a2977a673cdad
mathgraph	08ddb26718c86213262943ca19ae8cf1b03fa922
mathgraph-a3	1e209dad266d59b4d43cdea189876bc6ea551339
mathgraph-direct-iota-separator	9354058ede6e603635c6d691a2f453e24de86567
mathgraph-expedition-beta	0ce0475583511dc41e2c9a1620c44312741bc21a
mathgraph-expedition-crossover	2bd1512d18574247986ef5ff899bbf912ac0ded1
mathgraph-experiment-lookup-unroll	954eedcc9a6c9534d3616e6fb03e78b937ca4975
mathgraph-force-origin-runtime-atlas	21029432fc39ad88f0d26ab1bc7604cdc3878895
mathgraph-force-pi-fastpath	c1715be218e8473241c013c2ccfe8b32666ee2b3
mathgraph-infer-beta-fusion	6b542aa42a8076936fa83f34d96d7224b3a72aa3
mathgraph-infer-pi-demand-bypass	2c85660016aa1f2f4cc53643dc48bf72f31064ae
mathgraph-iota-apply-fusion	1aa3df10cc8dc66f92b23b885f4e620500931760
mathgraph-msi-compounded-v3	ae7053370ebb92f9069b980704ce8314a2ba0e2f
mathgraph-quotient-census	660d4b5997431379b5d68feead377eac9554802d
mathgraph-semantic-residual-atlas	6382605c324ca388a9155fd95f9edb5690489b75
mathgraph-v2-binder-scaling	e011801d5eebfb0b236c9fe871b3345b00628a5c
mathgraph-v2-budget-separator	fce295f6a7eb284471812e3a49cb0deb02b9fe7f
mathgraph-v2-cost-separator	cbd3d0902ae59fe0e38e7e40619355cb16290fa7
mathgraph-v2-expedition	37199d1b20b4dbbc84855a5a3e737f1b3aa4e297
mathgraph-v2-jump-env	698870e99794c0408531b6bd96050d4bc63bc4b8
mathgraph-v2-lazy-lambda-args	cfc60b4f0481ab1bce82416569214a7c0ec12492
mathgraph-v2-leaderboard-gate	2882c9686293753c6e1c22b2ea85047358ee8eb5
mathgraph-v2-lookup-profile	27de612e9172d2cbf4ffaedada9da360dfe5a4d3
mathgraph-v2-lookup-unroll	9a162e235d3a4234f432495d746543613dfc025a
mathgraph-v2-lookup-unroll-trigger	931cf2bec9dddb948e8e8e986f45a424157c5f80
mathgraph-v2-lookup-unroll-trigger2	931cf2bec9dddb948e8e8e986f45a424157c5f80
mathgraph-v2-lookup-unroll-trigger3	931cf2bec9dddb948e8e8e986f45a424157c5f80
mathgraph-v2-mathlib-separator	659dcf0395eddcd3bf5327960bc4e215cb1d0733
mathgraph-v2-phase-adaptive	8d6ee8c729ceb5e82b10a1311f834520a7d0bd1c
mathgraph-v2-promotion-gate	1e209dad266d59b4d43cdea189876bc6ea551339
mathgraph-v2-realworld-fix	889be0a187352dc28de6dad9eba8e07d48539644
mathgraph-v2-realworld-pathfix	0f885785ddaf6084a6e6cc065e0f96af1ef1520d
mathgraph-v2-release	202f23ef35aaca6cd704694084b2944574a6b14b
mathgraph-v2-release-candidate	1e209dad266d59b4d43cdea189876bc6ea551339
mathgraph-v2-representation-residual	c459ea86ea267c6da0ae960b123fe7af1ca7ea9a
mathgraph-v3-msi-lineage	2e59790aa2725234188ff432a9f96ac6edaa684d
